"統計名：","人口推計 各月1日現在人口 確定値"
"表番号：","003"
"表題：","[確定値] 年齢（５歳階級），男女，月別人口－総人口，日本人人口 ，外国人人口 （各月１日現在）-令和２年国勢調査基準-"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"","","","","","","","","","","","","/男女別 コード","000","001","002"
"表章項目 コード","表章項目","確定値 コード","確定値","全国 コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在）","人口 コード","人口","年齢5歳階級 コード","年齢5歳階級","/男女別","男女計","男","女"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01016","75～79歳","","6,961","3,099","3,862"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01017","80～84歳","","5,388","2,228","3,160"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01018","85～89歳","","3,764","1,337","2,428"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01019","90～94歳","","1,825","505","1,320"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01020","95～99歳","","506","96","411"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01021","100歳以上","","82","10","71"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","02000","（再掲）15歳未満","","14,776","7,568","7,207"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01023","（再掲）15～64歳","","72,663","36,812","35,850"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01024","（再掲）65歳以上","","35,866","15,572","20,294"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01026","（再掲）うち75歳以上","","18,527","7,274","11,252"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","002","日本人人口","01027","（再掲）うち85歳以上","","6,177","1,948","4,230"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01000","総数","","126,068","61,310","64,758"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01001","0～4歳","","4,503","2,305","2,199"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01002","5～9歳","","5,095","2,609","2,486"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01003","10～14歳","","5,385","2,761","2,624"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01004","15～19歳","","5,684","2,917","2,768"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01005","20～24歳","","6,349","3,250","3,099"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01006","25～29歳","","6,390","3,282","3,108"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01007","30～34歳","","6,676","3,412","3,263"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01008","35～39歳","","7,475","3,795","3,680"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01009","40～44歳","","8,408","4,264","4,144"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01010","45～49歳","","9,853","4,987","4,867"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01011","50～54歳","","8,759","4,408","4,351"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01012","55～59歳","","8,015","4,002","4,013"
"001","人口【千人】","01","確定値","00000","全国","2021000101","2021年1月","001","総人口","01013","60～64歳","","7,424","3,668","3,757"
